,essay_content
0,"During the Jin Dynasty, there was a child named Che Yin. He was smart and loved reading. He grew up in a poor family and couldn’t afford lamp oil to study at night. One night, he saw fireflies outside his house and came up with an idea. He caught some fireflies in a bag and hung the bag up as a lamp. It is said that he spent all of his summer nights reading like this. Another child named Sun Kang also loved reading. One night during winter, Sun used up all of his lamp oil and couldn't study at night. When he woke up at midnight, he saw the snow reflecting the moonlight outside his house. ""Oh, I can use the reflected light to read! "" he thought. He took out his books and read, even though he was cold. Both of the children later became successful government officials. People turned their stories into the Chinese idiom nangyingyingxue."
1,"You may have heard of people who are allergic to seafood, smoke or pets. But did you know that some people were allergic to Wi-Fi signals? Rose White, a 44-year-old woman from Britain, first found herself being allergic to Wi-Fi signals in 2015. She had a cough, heart trouble and great pains in her head when she stayed at the places covered with Wi-Fi signals. Rose has tried many ways to keep away from Wi-Fi signals. In the past six months, she either slept in her car or in a tent which she had put up in the woodland and in the fields. She even tried sleeping in a shed. Being completely tired, Rose had no choice but to quit her job and moved 370 kilometers away from her home to avoid Wi-Fi signals, but failed. Because of the hard life, she got a stomach problem. She is now living in a small house in the rural area in England. There are far fewer Wi-Fi signals. However, the house, which belongs to her friend, will be sold to others, so she has to move again soon. Rose is planning to move to a more rural area. She is also planning to buy a camper van so that she can drive away from Wi-Fi signals whenever she is feeling uncomfortable. As she cannot work to make money, she has to raise money online. She is hoping to raise 15, 000 pounds. So far, she has raised over 1, 600 pounds. She still has a long way to go."
2,"A young man who did not have much money was coming home by train one day. He gave his last few coins to a beggar, but then he saw another one, and forgot that he didn't have any money about him. He asked the beggar if had like to have lunch with him, and the beggar agreed. So, they went into a small restaurant and had a good meal. At the end the man could not pay the bill. Of course, the beggar had to do so. The young man was very sorry about this, so he said to the beggar, ""Come home with me in a taxi, my friend, and I'll give you back the money for lunch. ""Oh, no! "" the beggar answered quickly. I have to pay for your taxi home too! """
3,"I remembered one of my classmates. Her name was Lucy. Once she brought a new doll to kindergarten. The toy was very pretty. All the girls liked it and even the boys liked it. Everyone played with it happily. When I played with it, I broke it by accident. Lucy cried. At first I didn't know what to do. Then I decided to give her a similar doll. It looked like the broken one. I asked my parents to buy it for me for my 6th birthday. I didn't ask for my own birthday gift. They bought a doll on Sunday. I gave Lucy that doll on Monday. It was also my birthday. The girl was very happy. And all of my classmates were very happy, too. Then at dinner, my dad gave me my own gift-a new robot. He said I did the right thing, and my parents were proud of me."
4,"On a sunny afternoon, my father and I were reading together in the living room. My father was enjoying himself reading his favorite short story writers' works. Suddenly he passed me one of them. I read it for a while and then looked at him and said, ""Why not write a story myself? If you like it, give me a prize! "" He agreed happily. Back to my room I concentrated on writing. But when the draft still hardly gave me satisfaction, hopelessness filled my heart. Then I went past the living room to the study secretly for help, where I found an interesting story. I was so excited that I took down everything I needed. Then I took the story to my father. He finished reading, nodded and smiled, ""It is excellent, Jay. I am quite sure you can get what you want. "" Then he pointed at a line, ""Writing really needs study and imagination. I can tell you're a creative boy from this sentence. So there is nothing I can change. "" I listened to his praise. What he said made me embarrassed. I didn't feel like a winner. Mark Twain should have won the prize, because he was the writer of the book. I stepped back a bit and said, ""Dad, I'm sorry. I copied the story from a book. I guessed you might not I have read it, so. . . "" ""Jay, I am glad that you can realize your mistake He patted my head and continued, ""I know, you want to show your passion for writing to me. But, no matter what you want to do, honesty always comes first. Remember? """
5,"Some people say extreme sports are dangerous-and they're probably right-but hey, if you're not afraid of getting hurt, you might as well do it with style! It is. reported that regular sports are not completely safer than extreme ones. Here is an introduction to three new extreme sports. South Africa and Jacksonville, Florida, USA are the two homes of ostrich racing. Why do some guys like to attend this extreme sport? The show is that sometimes four or even ten ostriches are marching forward and at a time, and this is seriously strange. For the supporters, there's a chance to ride an ostrich. Although if you don't want to be bitten or kicked, you can use carts like ostriches for racing instead. BASE represents several words-Buildings, Antennae, Spans, Earth. Spans means bridges and Earth means cliffs, but then the beauty of BASE jumping is that it's just launching yourself from anywhere possible with a parachute ready to go. Although BASE jumping dates back to 1978, it has been popular quite a lot recently because there are pieces of videos on the Internet and every jump is a new possibility. The bird man suit has a few names-the flying squirrel suit, wing-suit and bat-suit, it's a specially designed suit that lets you glide through the air at controlled speeds-adding a little extra to your usual skydiving experience. This is probably the closest we are going to fly. If combining this with BASE jumping, you'll get some serious death-defying excited feelings."
6,"Recently Steve had a car accident, so he put his a car in the garage to do the repair work. Since he had to go to work on weekdays, he decided to travel by train for a while. One day, he noticed a homeless guy at the station at night. He felt pity for him, so he gave him some change from his pocket. The homeless guy thanked him for it. The next day, he noticed the homeless guy again at the same place. This time Steve offered him something to eat. The homeless guy thanked him for his kindness. But Steve got surprised and asked him, ""How did you get to this point? "" The homeless guy looked up at him smilingly and said, ""By showing love. "" Steve didn't understand it, so he asked him, ""What do you mean by that? "" The homeless guy answered, ""Throughout my whole life, I made sure that everyone was happy. No matter what was going right or wrong in my life, I always helped everyone. "" Steve asked him, ""Do you regret it? "" The homeless guy answered, ""No. It just hurts my heart that the people I helped wouldn't give me a hand when I was in need. Son, it is better to build your own house and invite someone in for shelter than to hand them your bricks while you are building yours. If not, you will probably be the person who looks for shelter. "" Steve understood what the homeless guy meant and thanked him for the good advice."
7,"Last summer, I moved from a tiny city in England to one of the 1argest and most populated cities in the world. As the plane touched down in Beijing, I felt excited that I'd finally arrived after months of planning. One of the first things I did was to visit one of the city's hutong. Walking around the narrow streets, I saw local Beijingers clothes hanging in the yard and the elderly playing Chinese chess in the sunlight. This was the first moment I thought, ""Yes, I'm in China. "" Beijing couldn't be more different to my hometown, Preston, which has a population of just 114, 000. On Sunday, all the shops close at 4: 00 p. m. there. There isn't a lot of choice when it comes to restaurants, either. As a fan of food. I couldn't wait to see what Beijing here has to offer. I haven't found a favourite Chinese dish here yet-I'm still happily working my way through Beijing's countless restaurants to try to figure that out. My adventure in China is only just beginning. I hope to see many other cities of China. My dream is to travel across the country, taking photos and meeting new people along the way."
8,"Raj Pabari is a student in California, the US. He has many hobbies. Finding ways to solve problems is one of his favorite hobbies. The 15-year-old is used to distance learning, since his school often uses it. But many students are having a hard time keeping up with their studies at home because of the novel coronavirus outbreak. To help these students, Pabari has started a new online tutoring service. Tutors for Good, which Pabari created after the quarantine began in mid-March, offers free peer-to-peer tutoring for different subjects every week. If students need more help, extra half-hour sessions cost 15 dollars (about 105 yuan). Pabari's father is a businessman. Following in his father's footsteps, Pabari started his first business at the age of 10. He taught older adults how to use their electronic devices. More recently, he tutored fellow students in the subjects of math and debate. When schools closed and he could no longer do in-person tutoring, he came up with the idea for his online service. He uses the Zoom video conferencing app and a whiteboard so that both tutors and students can work on problems at the same time. Since starting tutorsforgood, com, Pabari has asked other Classical Academy students to serve as tutors. Lillie Eckstein, a junior, is offering tutoring in biology and chemistry. Besides looking for other tutors, Pabari said he hoped to find companies who would pay the tutors to provide more free services for the students in need. ""Students are missing the social aspects of being at school, "" Pabari said. ""Tutoring over Zoom is not quite the same, but it is like socializing over Zoom, """
9,"Mr. Lee gave each of his students a sunflower seed to plant. He told them they should take care ofthe plant and that they would collect some seeds when the flower got old. Roy was so excited that he planted the seed and looked after it with great care for many days. When the first leaf came out, he went to see Mr. Lee. ""When can I have sunflower seeds? "" he asked. The teacher answered that he would still have to take care of the plant for quite some time. Roy had to look after the plant every day. However, he became more and more impatient day by day. He kept asking his teacher when he could collect the seeds every day. Though the teacher asked him to be patient, Roy cut off the flower to eat the seeds as soon as he saw the sunflower's seeds. But the seeds were still too young to be eaten. The boy was so sad. He spent so much time caring for the sunflower, but had nothing in the end because he was impatient."
