,essay_content
0,"In the 13th century, two explorers, Meriwether Lewis and William Clark, made a journey to America. They were able to travel by boat. These explorers had no idea where they were going. They knew that the people of the island were very poor. They knew that it was difficult to get to the US. Meriwether Lewis and William Clark had to get to the US with their own ships. It took over one year for the explorers to get to the US. It was a long and tiring trip. On the first of their trip, the explorers had to get to the heart of America. Some of the explorers had to return to the island. But these explorers found a way. They took a boat and a lot of food with them. It was not long before they arrived in America. On the fourth of their trip, they arrived at the foot of the US with a big ship. It was the last time they had ever been to America. They were excited. They thought the trip was very easy. But it was not. They found that the people of the island were very friendly. They gave some food to the explorers. Most of the food was good. The food also made the explorers very happy. The last part of their trip was very bad. They had to give up. The explorers had to return home. But they found the people of the island were friendly. They invited the people from the US to take a trip to the US with them."
1,"I am Bean. I live in Beijing. It is a very beautiful city. I want to visit some places of historical interest such as the Summer Palace, the Red Wall and the Great Wall. However, I can't decide where to go. For me, the Palace Museum is my favorite place. I think there are many other interesting places in the city. I also like the Beijing World Trade Center. The one in central Beijing is the Forbidden City. Workers on the site are always friendly and friendly. I visit the old and famous Baidian Great Wall and the Great Wall. They also live near my home. However, I can't decide where to go. I think the best way to visit the Palace Museum is by train. Trains are fast, and full of people. It is a good way to take a walk on theore. I also like the underground map. I think trains are useful in my life."
2,"Do you often go through your days feeling like you're tired, without sleeping? You are probably thinking you're sleep-deprived, or that your body is growing and changing. You may think you're sleep-deprived, or that you are thinking you're asleep during the day. In fact, sleep-deprived is a condition in which people have trouble falling asleep. It's a condition called narcolepsy. Narcolepsy can cause people to sleep badly, even when they have nothing to do, such as work or school. The condition can also be found in people who have a serious illness, such as a high blood pressure. To make things worse, their body temperature may also go up. If these two conditions are together, they can make you feel sick. To make things worse, they may make you feel nervous, and it may make you feel weak and nervous. There are also many other things that can cause a person to sleep-deprived. The most common ones are having trouble with concentration, remembering information and remembering things. Having trouble remembering things can make people have trouble concentrating in class, too. The best way to sleep-deprived is to have a good night's sleep. You should have good dreams and get enough sleep. It shouldn't be too hard to take a nap, and you shouldn't have too much sleep. Even though you sleep-deprived, you'll probably feel better about your health."
3,"One day John went to visit his old university professor. The professor was happy to see John at his home. He wanted to tell him that his life was going to be easy. ""When will it be safe to stay here? "" he asked. ""I don't know. I'll have to stay here for a week, "" said the professor. ""How will I know it's not safe to stay here for a week? "" ""I know, "" said John. ""The first thing I'll do is make a survey and see how many students are using their phones. I'm sure it will be safer to stay here for a week. "" The professor put some food on the table, and then asked, ""How many students do not know their phones are? "" ""The first question is the one who doesn't have a phone, ""said John. ""The second question is the one who has one. "" ""How many students can't remember their phones? "" ""Two, ""said the professor. ""One hundred and fifty students may not know their phones. That's why we have to make the survey. """
4,"Once a young man went to visit his friend. He wanted to show his friend how rich their family was. After showing his friend the way, his friend said, ""Our family is not very rich, but we are happy because we have two nice things in our wallet. "" ""What are they? "" the young man asked. ""They're my friends, "" said his friend. ""How much is enough? "" asked the young man. The old man gave him a long wallet. Now they were very rich. Just as the man was saying, the boy thought his friend cheated him. He took the wallet and walked to the door, but he forgot to take it. As he tried to go into the house, the door opened and the young man went in. The boy saw a wallet lying on the floor. ""What is it? "" he cried. ""Oh, my friend. It is my money, "" said the old man. The boy turned around and went on saying, ""No, my friend, I'm not rich. I'm sorry. I took the wallet and walked to the door, but I forgot to take it. """"Did you notice that? "" asked the young man. The old man was silent for a moment. ""I noticed a wallet lying on the floor. """
5,"A young farmer, who was never too old, had once put up a very large noticeboard in front of his gate. It said, ""All the money from the sale will go to poor families. Go for it if you can. ""The young farmer did not understand why the noticeboard was put up, but he decided that it was an advertisement in his newspaper. The next day he received a similar noticeboard, but this time it said, ""We sell a lot of things in this way. "" The young farmer did not understand why the noticeboard was put up, but he decided that he would use up all his money to help those in need. He put the noticeboard on the gate. Then he went into his garage and put the notice into the window. As soon as he opened the window, he saw that it was a large load of chickens. He took the noticeboard and put it into the window. As soon as he saw that it was a chicken, he understood that it was an animal of his own kind."
6,"""We need to talk about the school rules, "" Mrs Brown said to her husband. ""That's a good thing we can do. "" On Sunday morning, Mr. Brown and his wife went out for a walk. After a few minutes, they came to a forest. ""Do you have any tigers? "" she asked her husband. ""Yes, we do, "" he said. ""Do you want to see tigers? "" she asked. ""Yes, we do, "" his wife said. They went back to the camp. A few minutes later, Mr. Brown and his wife saw a tiger was in the woods. ""There it is! It is in the trees! "" said the tiger proudly. The teacher came to help them. ""It is easy to see tigers in the forest, "" he said. ""We can help them. "" After a while, the teacher said, ""We'd better not see tigers in the forest because tigers are often in the woods! "" The couple walked all the way to the school. On Sunday afternoon, Mr. Brown and his wife saw a tiger was lying on the ground. ""It's no trouble for us to see tigers, "" said the teacher. ""It's because we live in the forest and it's easy to see tigers in the morning, "" said Mr. Brown."
7,"Many of us are bored in our spare time and find nothing to do. Here we will offer you some activities that can be done in free time. Reading. Reading is one of the best activities to do in free time. In addition to the pleasure that it adds to people's life, it also fills people's minds with knowledge, stories and so on. A person can follow the style of reading in his or her life, either by buying books, making use of a free library card, or by exchanging books with friends. Cooking. Cooking skills are necessary and must be learned in life, and there is nothing more wonderful than cooking with your hands and making new dishes. Fishing. This is an enjoyable but dangerous activity. Taking photos. Use a good camera or a smartphone's camera, so that people can take pictures that are worth the money. Fishing. This is an excellent way to spend enjoyable time for people with special physical skills."
8,"In November 18, 1828, a strange boy aged about 16 years old was found at the bottom of a river in Linxia, Linxia. His hair was long and dirty, his clothes were filthy and he seemed frightened by other humans. He tried to hide in a hole behind a tree but was soon noticed by some villagers. With the help of his father, the boy learned to climb up the tree. He also learned to make a good overcoat. He became so good at looking at the big trees that some of the villagers gave him food to eat. His father was a very important figure in the army. He made sure that the soldiers could build the strong, strong army to help them. In this way he helped build the army before they could defeat the enemy. Early the next year, his father died. The next year, his second older son was born. With sadness the father died and it was too late for him to help his family. He left behind his best friend, Gao Xiaobao, who was the daughter he had met in the tree. Many years later, there was a new general election in Linxia. This time the general election was held by the general of the country. All the other soldiers stood in the same position as they had been fighting in training. The general election was very short but the results were very good. When the general election started, the general of the army was announced. The general election started with the general's name, but the candidates were not election officials. Instead, they should have been selected according to their own interests and the needs of the general. As the new general came into being, the old general who had been imprisoned in the tower before became the first"
9,"Last Friday a storm swept through two villages in the New Territories, destroying fourteen homes completely. Seven others were so badly damaged that their owners had to leave them, and fifteen others had broken windows or broken roofs. One person was killed, several were badly hurt and taken to hospital, and a number of other people received minor injuries. Altogether over two hundred people were homeless after the storm. Mr Tan, a farmer, said that the storm began early in the morning and lasted for over an hour. ""I was eating with my wife and children when we heard a loud noise, "" he said, ""A few minutes later, part of the house fell down. We tried our best to climb out but then I found that one of my children was missing. I went back inside and found him, safe but very scared. "" Mrs Woo Mei Fong said that her husband had just left for work when she felt that her house was moving. She ran outside at once with her children. ""There was no time to take anything, "" she said, ""A few minutes later, the roof came down. "" Soldiers helped to take people out of the flooded area and the welfare department brought them food, clothes and shelter."
